t,x,xdot,xddot,drag_aero,drag_hover,drag_brake,drag_ski,brakegap,Fload_brakes
0,0,0,0,-0,-0,-0,-0,25,0
0.01,0.000222009297052154,0.0444018594104308,4.44018594104308,-0,-0,-0,-0.0473816573860261,25,-2.56901234851431
0.02,0.00088736354215048,0.0886689896092343,4.42671301988035,-3.70715130202471e-07,-0.00110555703499805,-0.000275873296356963,-0.0473732427985353,25,-3.09920086085722
0.03,0.00199472345824213,0.132802993609096,4.41340039998616,-1.47836446863511e-06,-0.00219877095807957,-0.000546985152129122,-0.0473648552311167,25,-3.62550317150315
0.04,0.00354276566007243,0.176805446756965,4.40024531478688,-3.31629935543486e-06,-0.0032798316349366,-0.000813434683421417,-0.0473564943662944,25,-4.14746092249614
0.05,0.0055301823806496,0.220677897358469,4.38724506015042,-5.87799587113334e-06,-0.00434892496580486,-0.00107531847646462,-0.0473481598920922,25,-4.66469172901243
0.06,0.00795568120386551,0.264421867284713,4.37439699262444,-9.15705180846601e-06,-0.00540623299064906,-0.00133273066517162,-0.0473398515019086,25,-5.17687723679635
0.07,0.0108179848030994,0.308038852562055,4.36169852773413,-1.31471837337644e-05,-0.00645193399097505,-0.00158576300590743,-0.0473315688943964,25,-5.68375332665371
0.08,0.0141158306856368,0.351530323945426,4.34914713833712,-1.78422241347878e-05,-0.00748620258839554,-0.00183450494958759,-0.0473233117733443,25,-6.18510202328163
0.09,0.0178479709427427,0.394897727475759,4.33674035303332,-2.32361186519771e-05,-0.00850920984007052,-0.00207904371121467,-0.0473150798475631,25,-6.68074476848343
0.1,0.0220131720052316,0.438142485022035,4.32447575462762,-2.93229233902384e-05,-0.00952112333113851,-0.00231946433695724,-0.0473068728307745,25,-7.17053679520608
0.11,0.0266102144043842,0.481265994808468,4.3123509786433,-3.60968023084746e-05,-0.0105221072642495,-0.00255584976887087,-0.0472986904415024,25,-7.65436239622694
0.12,0.0316378925380631,0.524269631927311,4.30036371188429,-4.35520246841995e-05,-0.0115123225463063,-0.00278828090735648,-0.0472905324029686,25,-8.13213092486273
0.13,0.0370950144418884,0.567154748837755,4.28851169104439,-5.16829626506716e-05,-0.012491926872516,-0.00301683667144658,-0.0472823984429899,25,-8.6037733984225
0.14,0.042980401565334,0.609922675851372,4.27679270136165,-6.04840888040856e-05,-0.0134610748078488,-0.00324159405700616,-0.047274288293879,25,-9.06923960088811
0.15,0.0492928885526136,0.652574721604534,4.26520457531622,-6.99499738784582e-05,-0.0144199178659992,-0.00346262819293102,-0.0472662016923476,25,-9.52849560136831
0.16,0.0560313230282274,0.695112173518234,4.25374519137002,-8.0075284485935e-05,-0.0153686045859373,-0.00368001239542249,-0.0472581383794121,25,-9.98152162061562
0.17,0.0631945653870471,0.737536298245701,4.24241247274673,-9.08547809203342e-05,-0.0163072806061381,-0.00389381822041418,-0.0472500981003021,25,-10.4283101903379
0.18,0.0707814885888166,0.779848342108206,4.23120438625048,-0.000102283315021828,-0.0172360887365702,-0.00410411551422285,-0.0472420806043711,25,-10.8688645599367
0.19,0.0787909779569548,0.822049531519425,4.22011894112192,-0.000114355828100742,-0.0181551690285231,-0.00431097246249251,-0.0472340856450096,25,-11.3031973132312
0.2,0.0872219309815455,0.864141073398728,4.20915418793031,-0.000127067348918527,-0.0190646588423501,-0.00451445563749763,-0.0472261129795605,25,-11.7313291641159
0.21,0.0960732571264078,0.90612415557373,4.19830821750014,-0.000140412991724042,-0.0199646929131983,-0.00471463004386864,-0.0472181623692371,25,-12.1532879052679
0.22,0.105343877640139,0.947999947172443,4.18757915987126,-0.00015438795434334,-0.020855403414797,-0.00491155916280002,-0.0472102335790422,25,-12.569107488242
0.23,0.115032725371028,0.989769599005354,4.17696518329113,-0.00016898751632124,-0.0217369200213703,-0.00510530499479879,-0.0472023263776906,25,-12.9788272167343
0.24,0.125138744585743,1.03143424393773,4.16646449323811,-0.000184207037113004,-0.0226093699677401,-0.00529592810102866,-0.0471944405375326,25,-13.382491037638
0.25,0.135660890791694,1.07299499725248,4.15607533147469,-0.000200041954324525,-0.0234728781076803,-0.0054834876433028,-0.0471865758344798,25,-13.7801469168607
0.26,0.146598130562976,1.11445295700378,4.14579597512953,-0.000216487781999479,-0.0243275669705817,-0.00566804142277576,-0.0471787320479331,25,-14.1718462888168
0.27,0.157949441369804,1.15580920436185,4.13562473580734,-0.000233540108951954,-0.0251735568164857,-0.0058496459173833,-0.0471709089607121,25,-14.5576435701362
0.28,0.169713811411358,1.19706480394911,4.12555995872564,-0.000251194597143124,-0.0260109656895417,-0.00602835631807636,-0.0471631063589862,25,-14.9375957294859
0.29,0.181890239451943,1.23822080416788,4.11560002187734,-0.000269446980100579,-0.0268399094699399,-0.0062042265638939,-0.047155324032208,25,-15.3117619065445
0.3,0.194477734660383,1.27927823752006,4.10574333521843,-0.000288293061378989,-0.0276605019243722,-0.00637730937591717,-0.0471475617730479,25,-15.6802030741304
0.31,0.207475316452578,1.32023812091886,4.09598833987971,-0.000307728713060821,-0.0284728547550682,-0.00654765629014639,-0.0471398193773302,25,-16.0429817383019
0.32,0.220882014337136,1.36110145599288,4.08633350740184,-0.00032774987429586,-0.0292770776474555,-0.00671531768933909,-0.0471320966439714,25,-16.4001616719354
0.33,0.234696867764015,1.40186922938281,4.07677733899295,-0.000348352549878352,-0.0300732783164873,-0.00688034283384756,-0.0471243933749195,25,-16.7518076778792
0.34,0.248918925976083,1.44254241303089,4.06731836480786,-0.000369532808860614,-0.030861562551683,-0.00704277989149169,-0.0471167093750947,25,-17.0979853782835
0.35,0.263547247863555,1.48312196446337,4.05795514324839,-0.000391286783202006,-0.0316420342609215,-0.00720267596650173,-0.047109044452332,25,-17.4387610271367
0.36,0.278580901821203,1.52360882706621,4.04868626028391,-0.000413610666452181,-0.0324147955130308,-0.00736007712756408,-0.047101398417325,25,-17.7742013434108
0.37,0.294018965608304,1.56400393035413,4.03951032879146,-0.000436500712467605,-0.0331799465792084,-0.00751502843500218,-0.0470937710835708,25,-18.1043733625365
0.38,0.309860526211241,1.60430819023327,4.03042598791482,-0.000459953234160318,-0.0339375859733145,-0.00766757396712289,-0.0470861622673166,25,-18.4293443042044
0.39,0.326104679708696,1.64452250925769,4.02143190244192,-0.000483964602278,-0.0346878104910704,-0.00781775684575786,-0.0470785717875074,25,-18.7491814547293
0.4,0.342750531139383,1.68464777687969,4.01252676219987,-0.000508531244214401,-0.0354307152481995,-0.00796561926102812,-0.047070999465735,25,-19.063952062418
0.41,0.359797194372253,1.72468486969436,4.00370928146719,-0.000533649642849234,-0.0361663937175424,-0.00811120249535879,-0.0470634451261878,25,-19.3737232445676
0.42,0.377243791979117,1.76463465167839,3.99497819840247,-0.000559316335416678,-0.0368949377651799,-0.00825454694677023,-0.0470559085956027,25,-19.6785619048717
0.43,0.395089455109625,1.80449797442328,3.98633227448918,-0.000585527912401633,-0.037616437685594,-0.00839569215147035,-0.0470483897032171,25,-19.9785346601551
0.44,0.413333323368558,1.84427567736324,3.97777029399583,-0.00061228101646294,-0.0383309822358972,-0.0085346768057723,-0.0470408882807228,25,-20.2737077754744
0.45,0.431974544695363,1.88396858799775,3.96929106345119,-0.000639572341382767,-0.0390386586691594,-0.00867153878736057,-0.0470334041622204,25,-20.5641471067304
0.46,0.451012275245897,1.92357752210909,3.96089341113398,-0.00066739863104142,-0.0397395527668596,-0.00880631517592771,-0.0470259371841753,25,-20.8499180500285
0.47,0.470445679276317,1.96310328397486,3.95257618657658,-0.000695756678416835,-0.04043374887049,-0.00893904227320307,-0.0470184871853741,25,-21.1310854971065
0.48,0.49027392902907,2.00254666657568,3.94433826008236,-0.00072464332460805,-0.0411213299123378,-0.00906975562239397,-0.0470110540068825,25,-21.4077137962223
0.49,0.510496204620939,2.04190845179824,3.9361785222561,-0.000754055457881984,-0.0418023774454703,-0.00919849002705924,-0.0470036374920041,25,-21.6798667179564
0.5,0.531111693933099,2.08118941063371,3.92809588354722,-0.000783990012742849,-0.0424769716729474,-0.009325279569434,-0.0469962374862397,25,-21.9476074254404
0.51,0.552119592503126,2.12039030337177,3.92008927380525,-0.000814443969023557,-0.043145191476284,-0.00945015762822397,-0.0469888538372481,25,-22.2109984485754
0.52,0.573519103418936,2.15951187979024,3.91215764184733,-0.000845414350998522,-0.0438071144431866,-0.00957315689588703,-0.0469814863948072,25,-22.4701016618454
0.53,0.595309437214591,2.19855487934061,3.90429995503722,-0.000876898226517237,-0.0444628168945835,-0.00969430939541877,-0.0469741350107767,25,-22.7249782653726
0.54,0.61748981176794,2.23752003132937,3.89651519887554,-0.000908892706158057,-0.0451123739109722,-0.00981364649665861,-0.0469667995390608,25,-22.9756887688969
0.55,0.640059452200064,2.27640805509537,3.88880237660088,-0.000941394942401637,-0.0457558593581019,-0.00993119893213188,-0.0469594798355725,25,-23.2222929783913
0.56,0.663017590776458,2.31521966018339,3.88116050880141,-0.000974402128823463,-0.0463933459120122,-0.0100469968124433,-0.0469521757581979,25,-23.4648499850567
0.57,0.686363466809944,2.35395554651376,3.87358863303674,-0.00100791149930498,-0.0470249050834465,-0.0101610696412361,-0.0469448871667622,25,-23.7034181564601
0.58,0.710096326565255,2.39261640454845,3.86608580346963,-0.00104192032726276,-0.0476506072416585,-0.0102734463297313,-0.0469376139229955,25,-23.9380551296069
0.59,0.734215423165265,2.43120291545353,3.85865109050729,-0.00107642592489532,-0.0482705216376291,-0.0103841552108599,-0.0469303558905001,25,-24.1688178057565
0.6,0.758720016498822,2.46971575125805,3.85128358045203,-0.00111142564244693,-0.0488847164267111,-0.0104932240530019,-0.0469231129347178,25,-24.3957623468074
0.61,0.783609373130161,2.50815557500965,3.84398237516084,-0.00114691686748821,-0.0494932586907188,-0.0106006800733442,-0.046915884922899,25,-24.6189441730975
0.62,0.808882766209843,2.54652304092679,3.83674659171384,-0.00118289702421278,-0.0500962144594769,-0.0107065499508694,-0.0469086717240711,25,-24.838417962476
0.63,0.834539475387216,2.5848187945477,3.82957536209108,-0.00121936357274977,-0.050693648731846,-0.0108108598389874,-0.0469014732090084,25,-25.0542376505198
0.64,0.860578786724336,2.62304347287628,3.82246783285768,-0.00125631400849165,-0.0512856254962385,-0.0109136353778214,-0.0468942892502028,25,-25.2664564317775
0.65,0.886999992611341,2.66119770452485,3.81542316485692,-0.00129374586143697,-0.0518722077506396,-0.0110149017061581,-0.0468871197218345,25,-25.475126761936
0.66,0.913802391683235,2.69928210985396,3.80844053291107,-0.00133165669554768,-0.0524534575221473,-0.0111146834730737,-0.0468799644997435,25,-25.6803003608122
0.67,0.940985288738051,2.73729730110926,3.80151912552977,-0.00137004410812058,-0.0530294358860454,-0.0112130048492457,-0.0468728234614025,25,-25.882028216085
0.68,0.968547994656375,2.77524388255551,3.79465814462569,-0.00140890572917258,-0.0536002029844222,-0.0113098895379587,-0.0468656964858886,25,-26.0803605876856
0.69,0.996489826322192,2.81312245060789,3.78785680523732,-0.0014482392208394,-0.0541658180443475,-0.0114053607858162,-0.0468585834538578,25,-26.2753470127772
0.7,1.02481010654503,2.85093359396047,3.78111433525858,-0.00148804227678729,-0.0547263393956206,-0.0114994413931652,-0.0468514842475182,25,-26.4670363112553
0.71,1.0535081639834,2.88867789371223,3.77442997517521,-0.0015283126216376,-0.0552818244881004,-0.0115921537242438,-0.0468443987506045,25,-26.6554765917123
0.72,1.08258333306941,2.9263559234903,3.76780297780758,-0.00156904801040367,-0.0558323299086304,-0.011683519717059,-0.0468373268483534,25,-26.8407152578101
0.73,1.11203495393472,2.9639682495709,3.76123260805983,-0.00161024622793987,-0.0563779113975683,-0.0117735608930045,-0.0468302684274787,25,-27.0227990150115
0.74,1.14186237233756,3.00151543099765,3.75471814267512,-0.00165190508840238,-0.0569186238649316,-0.011862298366225,-0.0468232233761473,25,-27.2017738776276
0.75,1.17206493959104,3.03899801969762,3.74825886999691,-0.00169402243472156,-0.0574545214061708,-0.011949752852735,-0.0468161915839562,25,-27.3776851761371
0.76,1.2026420124925,3.07641656059498,3.74185408973589,-0.0017365961380854,-0.0579856573175776,-0.0120359446792999,-0.0468091729419085,25,-27.550577564744
0.77,1.23359295325409,3.11377159172241,3.73550311274269,-0.00177962409743397,-0.0585120841113409,-0.0121208937920859,-0.0468021673423918,25,-27.7204950291372
0.78,1.26491712943435,3.15106364433027,3.72920526078592,-0.00182310423896444,-0.0590338535302579,-0.0122046197650864,-0.0467951746791555,25,-27.8874808944223
0.79,1.29661391387097,3.18829324299362,3.72295986633557,-0.0018670345156466,-0.0595510165621112,-0.0122871418083303,-0.0467881948472892,25,-28.051577833198
0.8,1.32868268461452,3.22546090571714,3.71676627235163,-0.00191141290674833,-0.0600636234537191,-0.0123684787758798,-0.0467812277432017,25,-28.2128278737515
0.810000000000001,1.3611228248633,3.26256714403791,3.71062383207762,-0.00195623741737108,-0.0605717237246692,-0.0124486491736234,-0.0467742732645997,25,-28.3712724083489
0.820000000000001,1.39393372289912,3.2996124631263,3.70453190883909,-0.00200150607799492,-0.0610753661807433,-0.0125276711668702,-0.0467673313104679,25,-28.5269522016017
0.830000000000001,1.42711477202417,3.33659736188477,3.69848987584684,-0.00204721694403295,-0.0615745989270411,-0.0126055625877508,-0.0467604017810486,25,-28.6799073988881
0.840000000000001,1.46066537049882,3.37352233304482,3.69249711600472,-0.00209336809539492,-0.0620694693808117,-0.0126823409424317,-0.0467534845778223,25,-28.8301775348136
