t,x,xdot,xddot,drag_aero,drag_hover,drag_ski,drag_brake,aerodrag_contribution,hoverdrag_contribution,skidrag_contribution,brakedrag_contribution,brakegap,Tload_brakes
0,0,0,0,-0,-0,-0,-0,NaN,NaN,NaN,NaN,25,0
0.01,9.81e-05,0.01962,1.962,-0,-0,-0.0508401725236922,-0,0,0,100,0,25,0.0550529701957387
0.02,0.0003924,0.03924,1.962,-7.66096428859101e-08,-6.73555857486527e-05,-0.0508361827435136,-0.000131324333607532,0.000150112146654737,0.131979359060255,99.6105481228502,0.257322405942908,25,0.0549057684128909
0.03,0.0008829,0.05886,1.962,-3.0643857154364e-07,-0.000134467592987693,-0.0508321932764406,-0.00026181632782024,0.000598176551920653,0.26248445394216,99.2258446692805,0.511072700225451,25,0.0547587502898228
0.04,0.0015696,0.07848,1.962,-6.89486785973191e-07,-0.000201336855037525,-0.0508282041224487,-0.000391481083888731,0.00134084760155722,0.391540555488814,98.8458038290764,0.761314767833184,25,0.0546119504403664
0.05,0.0024525,0.0981,1.962,-1.22575428617456e-06,-0.000267964202377843,-0.0508242152815134,-0.000520323671837292,0.00237486093731299,0.519172336579328,98.4703418156867,1.00811098679664,25,0.054465401230648
0.06,0.0035316,0.11772,1.962,-1.91524107214775e-06,-0.000334350462657334,-0.05082022675361,-0.000648349130655179,0.00369703103694384,0.645403889691301,98.099376806872,1.25152227239979,25,0.0543191329412276
0.07,0.0048069,0.13734,1.962,-2.75794714389276e-06,-0.000400496460703338,-0.0508162385387139,-0.000775562468486759,0.00530424887881662,0.770258743848613,97.7328288874314,1.49160811984115,25,0.0541731739151104
0.08,0.0062784,0.15696,1.962,-3.75387250140959e-06,-0.000466403018531506,-0.0508122506368007,-0.000901968662820452,0.00719347968766538,0.893759880979541,97.3706199939224,1.72842664541037,25,0.0540275506930763
0.09,0.0079461,0.17658,1.962,-4.90301714469825e-06,-0.000532070955355386,-0.0508082630478458,-0.00102757266067654,0.00936176075822581,1.0159297517089,97.0126738612927,1.96203462624021,25,0.0538822881376105
0.1,0.00981,0.1962,1.962,-6.20538107375872e-06,-0.000597501087596001,-0.0508042757718246,-0.00115237937879382,0.0118061993536238,1.13679029060701,96.6589159713484,2.192487538691,25,0.0537374095465659
0.11,0.0118701,0.21582,1.962,-7.66096428859101e-06,-0.000662694228891385,-0.0508002888087125,-0.00127639370381507,0.0145239706755362,1.25636293091712,96.309273502985,2.41983959542236,25,0.0535929367575584
